panel,element,field,expected,actual,verdict
"spellbook","SpellBookTitleText","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton10NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton10NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton11NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton11NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton12NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton12NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton1NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton1NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton2NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton2NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton3NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton3NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4Background","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4Cooldown","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4Highlight","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton4NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton4NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton5","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton5/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton5/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton5/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton5/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellButton5Background","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellButton5Background","presence","PRESENT","ABSENT","DELTA"
