panel,element,field,expected,actual,verdict
"trainer","ClassTrainerFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trainer","ClassTrainerFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"trainer","ClassTrainerFrame/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"trainer","ClassTrainerFrame/Texture#2","anchor","TOPRIGHT||||","TOPLEFT|ClassTrainerFrame|TOPLEFT|256|-0","DELTA"
"trainer","ClassTrainerFrame/Texture#2","texture-path","Interface\ClassTrainerFrame\UI-ClassTrainer-TopRight.blp||","Interface\ClassTrainerFrame\UI-ClassTrainer-TopRight.blp||","PASS"
"trainer","ClassTrainerFrame/Texture#2","font","|","|","PASS"
"trainer","ClassTrainerFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"trainer","ClassTrainerFrame/Texture#2","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"trainer","ClassTrainerFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFrame/Texture#3","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFrameBottomLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trainer","ClassTrainerFrameBottomLeft","presence","PRESENT","PRESENT","PASS"
"trainer","ClassTrainerFrameBottomLeft","geometry","0|256|256|256","0|256|256|256","PASS"
"trainer","ClassTrainerFrameBottomLeft","anchor","BOTTOMLEFT||||","TOPLEFT|ClassTrainerFrame|TOPLEFT|0|-256","DELTA"
"trainer","ClassTrainerFrameBottomLeft","texture-path","Interface\ClassTrainerFrame\UI-ClassTrainer-BotLeft.blp||","Interface\ClassTrainerFrame\UI-ClassTrainer-BotLeft.blp||","PASS"
"trainer","ClassTrainerFrameBottomLeft","font","|","|","PASS"
"trainer","ClassTrainerFrameBottomLeft","color","","#FFFFFFFF","DELTA"
"trainer","ClassTrainerFrameBottomLeft","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"trainer","ClassTrainerFrameBottomRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trainer","ClassTrainerFrameBottomRight","presence","PRESENT","PRESENT","PASS"
"trainer","ClassTrainerFrameBottomRight","geometry","256|256|128|256","256|256|128|256","PASS"
"trainer","ClassTrainerFrameBottomRight","anchor","BOTTOMRIGHT||||","TOPLEFT|ClassTrainerFrame|TOPLEFT|256|-256","DELTA"
"trainer","ClassTrainerFrameBottomRight","texture-path","Interface\ClassTrainerFrame\UI-ClassTrainer-BotRight.blp||","Interface\ClassTrainerFrame\UI-ClassTrainer-BotRight.blp||","PASS"
"trainer","ClassTrainerFrameBottomRight","font","|","|","PASS"
"trainer","ClassTrainerFrameBottomRight","color","","#FFFFFFFF","DELTA"
"trainer","ClassTrainerFrameBottomRight","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"trainer","ClassTrainerFrameCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFrameCloseButton","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFrameCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFrameCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFrameCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFrameCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFrameCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFrameCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFramePortrait","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerFramePortrait","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerGreetingText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerGreetingText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerHorizontalBarLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerHorizontalBarLeft","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerMoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerMoneyFrame","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerNameText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerNameText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill1","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill1/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill1/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill1/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill1/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill10","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill10/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill10/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill10/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill10/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill10Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill10Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill10SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill10SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill11","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill11/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill11/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill11/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill11/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill11Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill11Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill11SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill11SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill1Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill1Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill1SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill1SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill2","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill2/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill2/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill2/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill2/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill2Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill2Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill2SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill2SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill3","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill3/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill3/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill3/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill3/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill3Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill3Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill3SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill3SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill4","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill4/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill4/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill4/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill4/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill4Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill4Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill4SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill4SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill5","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill5/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill5/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill5/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill5/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill5Highlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill5Highlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill5SubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill5SubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerSkill6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerSkill6","presence","PRESENT","ABSENT","DELTA"
