panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"character-frame","CharacterStatFrame2StatText","FontString","CharacterStatFrame2Stat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame3","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","CharacterStatFrame2","BOTTOMLEFT","0","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame3Label","FontString","CharacterStatFrame3","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame3Stat","Frame","CharacterStatFrame3","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame3StatText","FontString","CharacterStatFrame3Stat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame4","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","CharacterStatFrame3","BOTTOMLEFT","0","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame4Label","FontString","CharacterStatFrame4","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame4Stat","Frame","CharacterStatFrame4","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame4StatText","FontString","CharacterStatFrame4Stat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame5","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","CharacterStatFrame4","BOTTOMLEFT","0","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame5Label","FontString","CharacterStatFrame5","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame5Stat","Frame","CharacterStatFrame5","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame5StatText","FontString","CharacterStatFrame5Stat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterArmorFrame","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","CharacterStatFrame5","BOTTOMLEFT","0","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterArmorFrameLabel","FontString","CharacterArmorFrame","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterArmorFrameStat","Frame","CharacterArmorFrame","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterArmorFrameStatText","FontString","CharacterArmorFrameStat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
