frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
62,1.033333,0.016667,-8948.217,-127.15351,83.371216,0,0,0,6.9999995,2.4740148,2.4740148,fwd|turnL,true,0,0,5,Run,1.0583996,1.0079999,5->5:Exact,NONE
63,1.050000,0.016667,-8948.312,-127.08494,83.36688,0,0,0,7.0000005,2.5132852,2.5132852,fwd|turnL,true,0,0,5,Run,1.0751996,1.008,5->5:Exact,NONE
64,1.066667,0.016667,-8948.408,-127.02013,83.36269,0,0,0,7,2.5525556,2.5525556,fwd|turnL,true,0,0,5,Run,1.0919997,1.008,5->5:Exact,NONE
65,1.083333,0.016667,-8948.508,-126.95917,83.3586,0,0,0,7,2.591826,2.591826,fwd|turnL,true,0,0,5,Run,1.1087997,1.008,5->5:Exact,NONE
66,1.100000,0.016667,-8948.609,-126.90216,83.35462,0,0,0,7,2.6310964,2.6310964,fwd|turnL,true,0,0,5,Run,1.1255997,1.008,5->5:Exact,NONE
67,1.116667,0.016667,-8948.713,-126.8492,83.35076,0,0,0,7,2.6703668,2.6703668,fwd|turnL,true,0,0,5,Run,1.1423998,1.008,5->5:Exact,NONE
68,1.133333,0.016667,-8948.818,-126.800354,83.347,0,0,0,7,2.7096372,2.7096372,fwd|turnL,true,0,0,5,Run,1.1591998,1.008,5->5:Exact,NONE
69,1.150000,0.016667,-8948.926,-126.75571,83.34334,0,0,0,7.0000005,2.7489076,2.7489076,fwd|turnL,true,0,0,5,Run,1.1759999,1.008,5->5:Exact,NONE
70,1.166667,0.016667,-8949.035,-126.715324,83.33975,0,0,0,7,2.788178,2.788178,fwd|turnL,true,0,0,5,Run,1.1927999,1.008,5->5:Exact,NONE
71,1.183333,0.016667,-8949.146,-126.679276,83.33624,0,0,0,7,2.8274484,2.8274484,fwd|turnL,true,0,0,5,Run,1.2096,1.008,5->5:Exact,NONE
72,1.200000,0.016667,-8949.259,-126.647606,83.3328,0,0,0,7,2.8667188,2.8667188,fwd|turnL,true,0,0,5,Run,1.2264,1.008,5->5:Exact,NONE
73,1.216667,0.016667,-8949.372,-126.62037,83.32944,0,0,0,7.0000005,2.9059892,2.9059892,fwd|turnL,true,0,0,5,Run,1.2432001,1.008,5->5:Exact,NONE
74,1.233333,0.016667,-8949.486,-126.59761,83.32611,0,0,0,7,2.9452596,2.9452596,fwd|turnL,true,0,0,5,Run,1.2600001,1.008,5->5:Exact,NONE
75,1.250000,0.016667,-8949.602,-126.57936,83.32282,0,0,0,7,2.98453,2.98453,fwd|turnL,true,0,0,5,Run,1.2768002,1.008,5->5:Exact,NONE
