frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
60,1.000000,0.016667,-8954.537,-132.493,83.18579,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.8299987,1.8,13->13:Exact,NONE
61,1.016667,0.016667,-8954.612,-132.493,83.1795,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.8599987,1.8,13->13:Exact,NONE
62,1.033333,0.016667,-8954.6875,-132.493,83.173195,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.8899987,1.8,13->13:Exact,NONE
63,1.050000,0.016667,-8954.763,-132.493,83.1669,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.9199986,1.8,13->13:Exact,NONE
64,1.066667,0.016667,-8954.838,-132.493,83.16061,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.9499986,1.8,13->13:Exact,NONE
65,1.083333,0.016667,-8954.913,-132.493,83.154305,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.9799986,1.8,13->13:Exact,NONE
66,1.100000,0.016667,-8954.988,-132.493,83.14801,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.0099986,1.8,13->13:Exact,NONE
67,1.116667,0.016667,-8955.063,-132.493,83.141716,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.0399985,1.8,13->13:Exact,NONE
68,1.133333,0.016667,-8955.139,-132.493,83.13542,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.0699985,1.8,13->13:Exact,NONE
69,1.150000,0.016667,-8955.214,-132.493,83.12912,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.0999985,1.8,13->13:Exact,NONE
70,1.166667,0.016667,-8955.289,-132.493,83.12282,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.1299984,1.8,13->13:Exact,NONE
71,1.183333,0.016667,-8955.364,-132.493,83.11652,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,2.1599984,1.8,13->13:Exact,NONE
