"expected_animation_id","spell_id","name","rank","cell","actual_stage","requested_animation_id","played_animation_id","resolution","asset_sources","evidence_directory"
"-1","10211","Arcane Missiles","Rank 6","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-120-139-final"
"-1","10211","Arcane Missiles","Rank 6","STANDING","PRECAST","51","51","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-120-139-v2"
"-1","10212","Arcane Missiles","Rank 7","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-120-139-final"
"-1","10212","Arcane Missiles","Rank 7","STANDING","CAST","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-120-139-v2"
"-1","12051","Evocation","","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12051","Evocation","","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","12484","Chilled","Rank 1","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12484","Chilled","Rank 1","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","12485","Chilled","Rank 2","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12485","Chilled","Rank 2","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","12486","Chilled","Rank 3","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12486","Chilled","Rank 3","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","12536","Clearcasting","","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12536","Clearcasting","","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","12654","Ignite","","MOVING","CAST","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","12654","Ignite","","STANDING","CAST","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","20600","Perception","Racial","MOVING","CAST","54","54","Exact","patch.MPQ:spells\presenceofmind_cast_base.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","20600","Perception","Racial","STANDING","CAST","124","124","BakedOnDemand","patch.MPQ:spells\presenceofmind_cast_base.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","21651","Opening","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","21651","Opening","","STANDING","SETTLE","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","21652","Closing","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"-1","21652","Closing","","STANDING","SETTLE","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"-1","22810","Opening - No Text","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"-1","22810","Opening - No Text","","STANDING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-160-173-v2"
"-1","25345","Arcane Missiles","Rank 8","MOVING","SETTLE","53","53","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"-1","25345","Arcane Missiles","Rank 8","STANDING","CAST","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-160-173-v2"
"-1","28612","Conjure Food","Rank 7","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"-1","28612","Conjure Food","Rank 7","STANDING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-160-173-v2"
"53","118","Polymorph","Rank 1","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"53","118","Polymorph","Rank 1","STANDING","SETTLE","53","53","BakedOnDemand","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"53","8413","Fire Blast","Rank 5","MOVING","SETTLE","53","53","BakedOnDemand","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-060-079-final"
"53","10199","Fire Blast","Rank 7","MOVING","SETTLE","53","53","BakedOnDemand","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-120-139-final"
"53","28271","Polymorph: Turtle","","MOVING","SETTLE","53","53","BakedOnDemand","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"53","28272","Polymorph: Pig","","MOVING","SETTLE","53","53","BakedOnDemand","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"54","475","Remove Lesser Curse","","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"54","1459","Arcane Intellect","Rank 1","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
"54","1460","Arcane Intellect","Rank 2","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
