key,kind,displayId,modelPath,outcome,cameraSource,authoredRetried,subjectPx,rgbLo,rgbHi,alphaLo,alphaHi,meanLuma,pieces,bindPoseHeight,eyeHeight,distance,fovyDeg,nearPlane,elapsedMs,note
creature:5488,creature,5488,Creature\FireElemental\FireElemental.m2,Ready,Authored,false,42336,0,255,255,255,85.0135,-1,3.3549,0,0,32.6593,0.2222,57.6988,
creature:5489,creature,5489,Creature\WaterElemental\WaterElemental.m2,Ready,Authored,false,54882,0,255,127,255,108.0733,-1,2.5345,0,0,32.6593,0.2222,59.8295,
creature:5490,creature,5490,Creature\AirElemental\AirElemental.m2,Ready,Authored,false,26855,0,255,117,255,53.6624,-1,2.9366,0,0,28.9376,0.2222,70.0963,
creature:5491,creature,5491,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,65.3162,
creature:5492,creature,5492,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,53.868,
creature:5493,creature,5493,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,59.4813,
creature:5494,creature,5494,Creature\AirElemental\AirElemental.m2,Ready,Authored,false,26855,0,255,117,255,53.6624,-1,2.9366,0,0,28.9376,0.2222,57.4523,
creature:5497,creature,5497,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,54.5123,
creature:5498,creature,5498,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,60.8317,
creature:5499,creature,5499,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,40416,0,255,255,255,104.4257,-1,1.9362,0,0,27,0.2222,76.5652,
creature:5505,creature,5505,Creature\Parrot\Parrot.m2,Ready,Authored,false,35056,0,255,127,255,34.3778,-1,1.4237,0,0,32.6593,0.2222,61.0177,
creature:5506,creature,5506,Character\Tauren\Female\TaurenFemale.m2,Ready,Authored,false,47730,0,255,255,255,101.4369,-1,2.2327,0,0,26.282,0.2222,87.3955,
creature:5507,creature,5507,Character\Tauren\Male\TaurenMale.m2,Ready,Authored,false,50766,0,255,255,255,100.0354,-1,2.3821,0,0,22.5007,0.2222,81.3268,
creature:5508,creature,5508,Character\Scourge\Male\ScourgeMale.m2,Ready,Authored,false,47744,0,255,191,255,44.0228,-1,2.3614,0,0,27,0.2222,76.6335,
creature:5509,creature,5509,Character\Scourge\Male\ScourgeMale.m2,Ready,Authored,false,43675,0,255,191,255,96.6128,-1,2.3614,0,0,27,0.2222,82.4373,
creature:5510,creature,5510,Creature\bear\Bear.m2,Ready,Authored,false,35279,0,255,128,255,64.8273,-1,1.8738,0,0,32.6593,0.2222,61.5954,
creature:5525,creature,5525,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,52329,0,255,255,255,105.0886,-1,1.6754,0,0,27,0.2222,73.2754,
creature:5526,creature,5526,Character\Human\Male\HumanMale.m2,Ready,Authored,false,45667,0,255,255,255,98.0669,-1,2.0352,0,0,27,0.2222,75.435,
creature:5527,creature,5527,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,45302,0,255,255,255,90.8459,-1,1.9362,0,0,27,0.2222,77.8386,
creature:5528,creature,5528,Character\Human\Male\HumanMale.m2,Ready,Authored,false,42159,0,255,255,255,104.0792,-1,2.0352,0,0,27,0.2222,73.2102,
creature:5529,creature,5529,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,45650,0,255,255,255,90.3282,-1,1.6754,0,0,27,0.2222,76.0321,
creature:5530,creature,5530,Character\Human\Male\HumanMale.m2,Ready,Authored,false,37081,0,221,255,255,76.4095,-1,2.0352,0,0,27,0.2222,73.2222,
creature:5531,creature,5531,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,37024,0,255,255,255,76.6393,-1,1.9362,0,0,27,0.2222,76.7204,
creature:5532,creature,5532,Character\Human\Male\HumanMale.m2,Ready,Authored,false,41676,0,255,255,255,90.0399,-1,2.0352,0,0,27,0.2222,76.7601,
creature:5533,creature,5533,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,43388,0,255,255,255,66.6446,-1,1.9362,0,0,27,0.2222,78.9316,
creature:5534,creature,5534,Character\Human\Male\HumanMale.m2,Ready,Authored,false,43819,0,255,255,255,138.5623,-1,2.0352,0,0,27,0.2222,72.4777,
