name	security	runnable	has_subcommands
npc spawn set	SEC_DEVELOPER	0	1
npc spawn set entry	SEC_DEVELOPER	1	0
npc spawn set displayid	SEC_DEVELOPER	1	0
npc spawn set emotestate	SEC_DEVELOPER	1	0
npc spawn set standstate	SEC_DEVELOPER	1	0
npc spawn set sheathstate	SEC_DEVELOPER	1	0
npc spawn set movetype	SEC_DEVELOPER	1	0
npc spawn set wanderdistance	SEC_DEVELOPER	1	0
npc spawn set respawntime	SEC_DEVELOPER	1	0
npc spawn set deathstate	SEC_DEVELOPER	1	0
npc spawn set auras	SEC_DEVELOPER	1	0
npc spawn move	SEC_DEVELOPER	1	0
npc set	SEC_GAMEMASTER	0	1
npc set entry	SEC_GAMEMASTER	1	0
npc set level	SEC_GAMEMASTER	1	0
npc set faction	SEC_GAMEMASTER	1	0
npc set flag	SEC_GAMEMASTER	1	0
npc set displayid	SEC_GAMEMASTER	1	0
npc set movetype	SEC_GAMEMASTER	1	0
npc set wanderdistance	SEC_GAMEMASTER	1	0
npc set respawntime	SEC_GAMEMASTER	1	0
npc set reactstate	SEC_GAMEMASTER	1	0
npc group	SEC_DEVELOPER	0	1
npc group add	SEC_DEVELOPER	1	0
npc group addrel	SEC_DEVELOPER	1	0
npc group del	SEC_DEVELOPER	1	0
npc group link	SEC_DEVELOPER	1	0
unit	SEC_MODERATOR	0	1
unit aiinfo	SEC_MODERATOR	1	0
unit info	SEC_MODERATOR	1	0
unit moveinfo	SEC_MODERATOR	1	0
unit speedinfo	SEC_MODERATOR	1	0
unit statinfo	SEC_MODERATOR	1	0
unit ufinfo	SEC_DEVELOPER	1	0
unit factioninfo	SEC_MODERATOR	1	0
unit show	SEC_MODERATOR	0	1
unit show race	SEC_MODERATOR	1	0
unit show class	SEC_MODERATOR	1	0
unit show gender	SEC_MODERATOR	1	0
unit show powertype	SEC_MODERATOR	1	0
unit show form	SEC_MODERATOR	1	0
unit show visflags	SEC_MODERATOR	1	0
unit show miscflags	SEC_MODERATOR	1	0
unit show emotestate	SEC_MODERATOR	1	0
unit show standstate	SEC_MODERATOR	1	0
unit show sheathstate	SEC_MODERATOR	1	0
unit show unitstate	SEC_MODERATOR	1	0
unit show unitflags	SEC_MODERATOR	1	0
unit show npcflags	SEC_MODERATOR	1	0
unit show moveflags	SEC_MODERATOR	1	0
unit show createspell	SEC_MODERATOR	1	0
unit show combattimer	SEC_MODERATOR	1	0
pool	SEC_GAMEMASTER	0	1
pool list	SEC_GAMEMASTER	1	0
pool update	SEC_ADMINISTRATOR	1	0
pool spawns	SEC_GAMEMASTER	1	0
pool	SEC_GAMEMASTER	1	0
pdump	SEC_ADMINISTRATOR	0	1
pdump load	SEC_ADMINISTRATOR	1	0
pdump write	SEC_ADMINISTRATOR	1	0
quest	SEC_GAMEMASTER	0	1
quest add	SEC_BASIC_ADMIN	1	0
quest complete	SEC_BASIC_ADMIN	1	0
quest status	SEC_GAMEMASTER	1	0
quest remove	SEC_GAMEMASTER	1	0
reload	SEC_DEVELOPER	0	1
reload all	SEC_ADMINISTRATOR	1	0
reload all_area	SEC_ADMINISTRATOR	1	0
reload all_gossips	SEC_ADMINISTRATOR	1	0
reload all_item	SEC_ADMINISTRATOR	1	0
reload all_locales	SEC_ADMINISTRATOR	1	0
reload all_loot	SEC_ADMINISTRATOR	1	0
reload all_npc	SEC_ADMINISTRATOR	1	0
reload all_quest	SEC_ADMINISTRATOR	1	0
reload all_scripts	SEC_ADMINISTRATOR	1	0
reload all_spell	SEC_ADMINISTRATOR	1	0
reload anticheat	SEC_ADMINISTRATOR	1	0
reload config	SEC_ADMINISTRATOR	1	0
reload account_banned	SEC_ADMINISTRATOR	1	0
reload areatrigger_involvedrelation	SEC_DEVELOPER	1	0
reload areatrigger_tavern	SEC_DEVELOPER	1	0
reload areatrigger_teleport	SEC_DEVELOPER	1	0
reload autobroadcast	SEC_ADMINISTRATOR	1	0
reload character_pet	SEC_ADMINISTRATOR	1	0
reload cinematic_waypoints	SEC_DEVELOPER	1	0
reload command	SEC_ADMINISTRATOR	1	0
reload conditions	SEC_DEVELOPER	1	0
reload crafting_variants	SEC_DEVELOPER	1	0
reload creature	SEC_DEVELOPER	1	0
reload creature_ai_events	SEC_DEVELOPER	1	0
reload creature_battleground	SEC_DEVELOPER	1	0
reload creature_display_info_addon	SEC_DEVELOPER	1	0
reload creature_groups	SEC_DEVELOPER	1	0
reload creature_involvedrelation	SEC_DEVELOPER	1	0
reload creature_loot_template	SEC_DEVELOPER	1	0
reload creature_onkill_reputation	SEC_DEVELOPER	1	0
reload creature_questrelation	SEC_DEVELOPER	1	0
reload creature_spells	SEC_DEVELOPER	1	0
reload creature_spells_scripts	SEC_DEVELOPER	1	0
reload creature_template	SEC_DEVELOPER	1	0
reload disenchant_loot_template	SEC_DEVELOPER	1	0
reload event_scripts	SEC_DEVELOPER	1	0
reload exploration_basexp	SEC_DEVELOPER	1	0
reload fishing_loot_template	SEC_DEVELOPER	1	0
reload game_graveyard_zone	SEC_DEVELOPER	1	0
reload game_tele	SEC_DEVELOPER	1	0
reload game_weather	SEC_DEVELOPER	1	0
reload gameobject	SEC_DEVELOPER	1	0
